Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,close_short,close_long,RSI,EMA12,EMA26,MACD,Signal_line,Label,Predictions,Buy_Signal,Sell_Signal,Buy_Price,Sell_Price,Profit,First_Buy_Flag,Cumulative_Profit,Final_Balance
2020-01-02,93.75,94.90049743652344,93.2074966430664,94.90049743652344,80580000,0.0,0.0,93.31309814453125,89.61919975280762,82.80956050567099,91.46078663099144,90.15425218836586,1.3065344426255763,0.731564301851467,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-03,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,75288000,0.0,0.0,93.37509765625,89.90489959716797,73.98928167283557,91.81274207380466,90.42049254547041,1.392249528334247,0.863701347148023,1,1.0,1,0,93.74849700927734,,0.0,1,0.0,73483.82814788818
2020-01-06,93.0,95.18450164794922,93.0,95.14399719238281,81236000,0.0,0.0,93.70589752197266,90.31089935302734,76.65640778757816,92.32524286127821,90.77038177857503,1.5548610827031837,1.0019332942590553,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-07,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,80898000,0.0,0.0,94.30559844970703,90.69904937744141,76.27410490384251,92.78951354713325,91.10909441122398,1.6804191359092755,1.1376304625890994,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-08,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,70160000,0.0,0.0,94.7468994140625,91.05519943237304,69.83439324524235,93.06781963415783,91.36756912985872,1.700250504299106,1.2501544709311008,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-09,95.49449920654297,95.89099884033203,94.79000091552734,95.05249786376953,63346000,0.0,0.0,94.77729949951171,91.45979919433594,72.69236231935518,93.37315474640579,91.64052681385212,1.7326279325536689,1.3466491632556146,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-10,95.26850128173828,95.34700012207031,94.0,94.15799713134766,57074000,0.0,0.0,94.85919952392578,91.79589920043945,66.98818054293403,93.49389972870453,91.82700609662956,1.6668936320749737,1.4106980570194865,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-13,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140625,55616000,0.0,0.0,94.74340057373047,92.12332420349121,69.41892894464223,93.65868476142788,92.02982064068709,1.6288641207407863,1.4543312697637465,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-14,94.29399871826172,94.35549926757812,92.92749786376953,93.47200012207031,68818000,0.0,0.0,94.36920013427735,92.3945743560791,63.40111508988078,93.62996404768056,92.13664875041918,1.4933152972613755,1.4621280752632724,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-15,93.61250305175781,93.94300079345703,92.75450134277344,93.10099792480469,57932000,0.0,0.0,94.06969909667968,92.62659912109375,62.60427909473251,93.5485846441612,92.20808202259589,1.3405026215653066,1.4378029845236793,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-16,94.14949798583984,94.27950286865234,93.3010025024414,93.89700317382812,53190000,0.0,0.0,93.8386001586914,92.84479942321778,52.03607246747033,93.60218749487919,92.33318729305753,1.2690002018216546,1.4040424279832744,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-17,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,79946000,0.0,0.0,93.65420074462891,93.0465244293213,48.929996606020715,93.5458509665955,92.40006231290774,1.1457886536877595,1.3523916731241714,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-21,93.25,94.7135009765625,93.0,94.5999984741211,74156000,0.0,0.0,93.66119995117188,93.29582443237305,59.32987657282078,93.70802750621482,92.56302054707169,1.1450069591431316,1.3109147303279636,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-22,94.80449676513672,95.125,94.16699981689453,94.37300109863281,64326000,0.0,0.0,93.84140014648438,93.54822463989258,58.07451136975686,93.81033113581759,92.69709318052065,1.1132379552969383,1.2713793753217586,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-23,94.25550079345703,94.4990005493164,93.63800048828125,94.22899627685547,49692000,0.0,0.0,94.06699981689454,93.77717437744141,46.60944278754922,93.87474115751573,92.81056748395287,1.0641736735628626,1.2299382349699794,1,1.0,0,0,,,0.0,0,0.0,73483.82814788818
2020-01-24,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,75324000,0.0,0.0,93.90399932861328,93.95824928283692,46.633011816197964,93.75278109211668,92.83067365050613,0.9221074416105495,1.1683720762980936,0,0.0,0,1,,93.08200073242188,-355.24251556396484,0,-355.24251556396484,73483.82814788818
2020-01-27,91.0,92.05000305175781,90.76699829101562,91.41699981689453,70570000,0.0,0.0,93.54019927978516,93.85717430114747,31.671132836214028,93.39343012669788,92.72595707023861,0.6674730564592721,1.0681922723303294,0,0.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-01-28,92.0250015258789,92.90550231933594,91.5009994506836,92.6624984741211,56160000,0.0,0.0,93.15269927978515,93.81579933166503,38.04788073292751,93.28097910322452,92.72125643348916,0.5597226697353648,0.9664983518113366,0,0.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-01-29,93.19999694824219,93.73750305175781,92.7509994506836,92.9000015258789,41760000,0.0,0.0,92.85809936523438,93.84357452392578,42.06790448962606,93.22236716824827,92.73449681070322,0.4878703575450487,0.8707727529580791,0,0.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-01-30,92.9000015258789,93.64350128173828,92.53050231933594,93.53399658203125,126548000,0.0,0.0,92.71909942626954,93.90067443847656,43.02576814208535,93.27031015498412,92.79371901598678,0.4765911389973354,0.7919364301659304,0,0.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-01-31,102.57350158691406,102.78600311279297,100.1135025024414,100.43599700927734,311346000,0.0,0.0,94.18989868164063,94.17744941711426,68.58054709049952,94.37272351718308,93.35981368215646,1.012909835026619,0.8361311111380682,1,1.0,1,0,100.43599700927734,,0.0,1,-355.24251556396484,73483.82814788818
2020-02-03,100.52999877929688,102.42500305175781,100.01249694824219,100.20999908447266,117834000,0.0,0.0,95.94849853515625,94.50052452087402,66.88803605575988,95.27076591215071,93.86723482306877,1.4035310890819375,0.949611106726842,1,1.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-02-04,101.49400329589844,102.98999786376953,100.76850128173828,102.4834976196289,105786000,0.0,0.0,97.9126983642578,94.86749954223633,75.18092282686881,96.38041694407043,94.50547651170285,1.8749404323675805,1.1346769718549898,1,1.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-02-05,103.5510025024414,103.5510025024414,101.5999984741211,101.99349975585938,87524000,0.0,0.0,99.73139801025391,95.2000244140625,74.68425631550903,97.24396814588411,95.06014490015889,2.183823245725222,1.3445062266290362,1,1.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-02-06,102.0510025024414,102.81500244140625,101.23999786376953,102.5114974975586,63660000,0.0,0.0,101.52689819335937,95.59567413330078,74.28740436094722,98.05435727691095,95.61209694441072,2.4422603325002257,1.564057047803274,1,1.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-02-07,102.09950256347656,104.92649841308594,101.90499877929688,103.96399688720703,101906000,0.0,0.0,102.23249816894531,96.04124908447265,78.95391637887225,98.96353260157188,96.23075619943268,2.7327764021392085,1.797800918670461,1,1.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-02-10,104.25050354003906,106.77999877929688,104.24800109863281,106.69550323486328,101124000,0.0,0.0,103.52959899902343,96.66812438964844,80.4006550385813,100.15306654515517,97.00592264650162,3.147143898653553,2.0676695146670796,1,1.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
2020-02-11,107.54499816894531,109.29750061035156,106.80000305175781,107.54000091552734,114920000,0.0,0.0,104.54089965820313,97.31687431335449,82.09742015468582,101.2895179867509,97.78622474050353,3.5032932462473667,2.3547942609831374,1,1.0,0,0,,,0.0,0,-355.24251556396484,73483.82814788818
