Feature,Importance
RSI,0.4791166273799798
MACD,0.19477754125204075
Signal_line,0.08134409648178414
VIX_short,0.056409878165636196
VIX_long,0.04750769988807654
VIX,0.046169288210816124
close_long,0.04168135102490037
close_short,0.03593750272030686
fedrate,0.017056014876459174
